City,State,Zipcode,Gender,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,1 to 2499 USD,2500 to 4999 USD,5000 to 7499 USD,7500 to 9999 USD,10000 to 12499 USD,12500 to 14999 USD,15000 to 17499 USD,17500 to 19999 USD,20000 to 22499 USD,22500 to 24999 USD,25000 to 29999 USD,30000 to 34999 USD,35000 to 39999 USD,40000 to 44999 USD,45000 to 49999 USD,50000 to 54999 USD,55000 to 64999 USD,65000 to 74999 USD,75000 to 99999 USD,100000 or more USD,Year
Chino Hills city, California,13214,Male,411.0,696.0,614.0,1290.0,1457.0,1909.0,3679.0,689.0,1701.0,3133.0,2107.0,1151.0,789.0,503.0,755.0,519.0,866.0,212.0,373.0,378.0,500.0,843.0,1044.0,1110.0,1039.0,1265.0,748.0,916.0,752.0,2134.0,3329.0,3812.0,2013
Chula Vista city, California,13392,Male,375.0,2838.0,4648.0,7178.0,9170.0,6645.0,10409.0,1619.0,2624.0,5852.0,3164.0,1241.0,2125.0,2250.0,1848.0,2400.0,2062.0,1147.0,1709.0,1425.0,4981.0,2474.0,4882.0,3983.0,3410.0,3009.0,3488.0,2070.0,4687.0,3002.0,4793.0,7013.0,2013
Citrus Heights city, California,13588,Male,416.0,1429.0,2585.0,2449.0,3554.0,2473.0,3421.0,310.0,917.0,959.0,540.0,379.0,1665.0,1006.0,896.0,674.0,1974.0,304.0,1193.0,796.0,1182.0,765.0,1703.0,1747.0,910.0,769.0,1151.0,878.0,1230.0,1470.0,1335.0,1406.0,2013
Clovis city, California,14218,Male,248.0,2106.0,3748.0,3717.0,5811.0,2375.0,1818.0,746.0,322.0,722.0,454.0,408.0,1133.0,959.0,991.0,149.0,1589.0,649.0,1386.0,585.0,1128.0,700.0,974.0,2239.0,731.0,1136.0,1219.0,1557.0,2226.0,869.0,2543.0,3023.0,2013
Compton city, California,15044,Male,428.0,689.0,1585.0,2596.0,2291.0,1442.0,4519.0,418.0,733.0,860.0,1281.0,655.0,1573.0,738.0,1131.0,566.0,1092.0,574.0,1591.0,1398.0,1647.0,780.0,2226.0,998.0,1415.0,594.0,643.0,569.0,1564.0,496.0,756.0,300.0,2013
Concord city, California,16000,Male,381.0,1600.0,3532.0,3806.0,4180.0,1227.0,3393.0,1034.0,923.0,3877.0,4187.0,1052.0,1195.0,898.0,666.0,1231.0,1861.0,782.0,1799.0,973.0,2168.0,721.0,2468.0,1860.0,1576.0,1691.0,761.0,1398.0,1553.0,2053.0,3717.0,5103.0,2013
Corona city, California,16350,Male,339.0,2162.0,4432.0,3611.0,2739.0,2287.0,5014.0,1472.0,1843.0,5424.0,7154.0,2607.0,1406.0,1106.0,1014.0,1134.0,1892.0,1385.0,1290.0,2164.0,1884.0,1086.0,2080.0,2711.0,1903.0,2440.0,1787.0,3034.0,2565.0,2916.0,4294.0,5915.0,2013
Costa Mesa city, California,16532,Male,1182.0,4533.0,4508.0,7666.0,5129.0,1436.0,5138.0,734.0,368.0,1734.0,1332.0,594.0,1466.0,2021.0,1860.0,271.0,2724.0,460.0,1557.0,218.0,2054.0,544.0,1708.0,2583.0,2048.0,2719.0,958.0,2006.0,2007.0,1203.0,4149.0,5788.0,2013
Daly City city, California,17918,Male,98.0,1198.0,2420.0,3365.0,5454.0,1787.0,6046.0,970.0,841.0,3675.0,2745.0,1987.0,1498.0,1120.0,1557.0,1097.0,2420.0,669.0,1559.0,554.0,2302.0,551.0,1833.0,1223.0,1752.0,2770.0,1963.0,1535.0,2461.0,1929.0,2619.0,2239.0,2013
Davis city, California,18100,Male,287.0,2210.0,4089.0,2967.0,1747.0,849.0,1583.0,305.0,689.0,235.0,234.0,442.0,2148.0,990.0,1700.0,918.0,491.0,539.0,403.0,626.0,1143.0,190.0,668.0,1337.0,692.0,591.0,318.0,285.0,796.0,1147.0,1402.0,3587.0,2013
Downey city, California,19766,Male,504.0,898.0,3537.0,3405.0,5043.0,1768.0,3475.0,932.0,2141.0,3780.0,1749.0,642.0,776.0,994.0,698.0,868.0,989.0,1259.0,1574.0,1507.0,990.0,867.0,3163.0,2574.0,1840.0,1716.0,1508.0,2311.0,2129.0,935.0,1952.0,2027.0,2013
East Los Angeles CDP, California,20802,Male,185.0,717.0,2235.0,2714.0,5585.0,2272.0,6453.0,307.0,2630.0,4536.0,2601.0,1571.0,832.0,672.0,1032.0,882.0,3512.0,1950.0,3926.0,1546.0,4406.0,1462.0,2399.0,2644.0,1615.0,2253.0,1029.0,1326.0,1542.0,487.0,561.0,436.0,2013
